Year,Police Service,City,Province,Civilian Consequences,Investigation Final Decision,Link
,Ontario Provincial Police,Brantford,Ontario,The Complainant was subsequently taken to hospital where he was treated for his dog bite wounds,,https://www.siu.on.ca/en/directors_report_details.php?drid=493
,Toronto Police Service,Grey,Ontario,Once at the station the Complainant was taken to hospital and his injury diagnosed,,https://www.siu.on.ca/en/directors_report_details.php?drid=457
,Windsor Police Service,Chatham-Kent,Ontario,n r\n With important exception the events in question are relatively clear on the investigation conducted by the SIU In breach of his curfew the Complainant was out riding his bicycle in Chatham at about 2:40 a.m on October 24 2018 WO 1 was on patrol at the time and noticed the Complainant He sought to stop the Complainant to investigate him for a potential infraction of the Highway Traffic Act namely the offence of riding a bicycle without proper lights WO 1 called out to the Complainant whereupon the Complainant accelerated away from the officer along Inshes Road The Complainant ditched his bicycle and fled into the backyard of the residence on Inshes Road where he hid lying on the ground between a shed and fencing in the yard behind the house At the request of WO 1 the SO arrived to assist in locating the Complainant With the PSD on a long lead the SO followed the dog into the backyard of the Inshes Road residence The PSD located the Complainant quickly As to what happened next there is discrepancy in the evidence There is some evidence that the Complainant surrendered upon seeing the dog and that the dog nevertheless bit the Complainant’s right hand before biting his left thigh The dog was removed by its handler and he was handcuffed In the SO’s report filed after the incident which was reviewed by WO 7 and conveyed to the SIU in WO 7’s interview the PSD is said to have first latched onto the Complainant’s left thigh when the Complainant upon being revealed attempted to flee from the scene Thereafter the PSD bit the Complainant’s right hand in response to the Complainant punching the dog Following the bite to the hand the PSD released its hold and the Complainant was arrested.\n,,https://www.siu.on.ca/en/directors_report_details.php?drid=477
,London Police Service,London,Ontario,n r\n While there is some discrepancy in the information collected by the SIU which includes statements from the Complainant the SO and a host of civilian and police witnesses the following story emerges from the weight of the evidence At about 4:15 p.m the LPS were called to a group home in London in relation to a youth committing a weapons offence WO 1 and WO 5 were the first to arrive on scene in their cruiser followed closely by the SO and WO 3 They were aware that the complaint involved a youth who was armed with a knife had threatened to use it to harm himself and others and was very violent There is evidence that by the time of their arrival the Complainant had discarded the knife but was holding a cordless phone The Complainant stood in front of the home’s porch as the officers approached him from the road WO 1 tried to speak with the Complainant encouraging him to put the knife down it appears the officers were not aware that the Complainant was no longer holding a knife The Complainant was unappeasable He yelled at and threatened the officers and challenged them to shoot him WO 3 was the first to physically engaged the Complainant He did so fearing for the safety of a group resident and workers standing on the home’s porch when the Complainant turned toward them and took a step in their direction The officer grabbed hold of the Complainant from behind in a bear hug His partner the SO soon followed and wrapped his left arm around the Complainant’s head The Complainant fought vigorously against the officers’ efforts to control him The three rammed into a vehicle parked in the home’s driveway before making their way onto the front lawn where the Complainant was grounded The Complainant resisted while on the ground at one point biting the SO’s left leg above the knee The SO reacted by punching the Complainant two to three times to the right side of his face The Complainant also kicked upwards with his leg striking WO 5’s right eye In response the officer delivered two knee strikes to the Complainant’s thigh The SO and WO 3 were eventually able to wrest control of the Complainant’s arms and with the help of WO 1 handcuffed them behind his back r\n The Complainant with his arms restrained and still on the ground continued to kick at the officers around him striking WO 1 and WO 5 Because he was still biting at the air and spitting in the officers’ direction WO 4 placed a spit mask over him A prisoner transport vehicle arrived at the scene and the Complainant was lodged inside and taken to hospital n,,https://www.siu.on.ca/en/directors_report_details.php?drid=459
,Hamilton Police Service,Hamilton,Ontario,n\nCause of Death\nThe pathologist at the Complainant’s autopsy attributed her death to multiple gunshot wounds,,https://www.siu.on.ca/en/directors_report_details.php?drid=473
,London Police Service,London,Ontario,nCause of Death\nThe pathologist at autopsy attributed the immediate cause of the Complainant’s death to “Multi-Drug Toxicity fentanyl cocaine methamphetamine trazodone ethanol)”,,https://www.siu.on.ca/en/directors_report_details.php?drid=449
,Ontario Provincial Police,Collingwood,Ontario,n r\n The material events in question are clear on the information collected by the SIU which included statements from the subject officers the Complainant and several firefighters in and around the area at the time as well as a cell phone video recording that captured the Complainant’s fall In the morning of October 8 2018 OPP officers arrived at the Complainant’s residence on Ontario Street to check on his well-being They had received a call about the Complainant barricading himself in his room The Complainant refused the officers entry into his bedroom and told them he was armed with knives With the mention of weapons the OPP mobilized its Emergency Response Team ERT and Tactics and Rescue Unit TRU The first TRU officers arrived at the scene between 10:00 and 10:30 a.m Among them were SO 1 and SO 2 As the two discussed options for entering the Complainant’s bedroom from the exterior of the building through the bedroom window other TRU officers gathered outside the Complainant’s bedroom door They asked the Complainant to come out of the room He refused told them he had knives and threatened to kill them SO 1 and SO 2 considered rappelling from the roof down to the bedroom window but abandoned that idea given the risk that the Complainant armed with knives might cut their rope Instead with the arrival of a fire services truck at the scene they decided to use the truck’s aerial bucket SO 1 and SO 2 entered the bucket and were raised into position by one of the firefighters The Complainant with knives in his possession waved them angrily in the officers’ direction as SO 1 and SO 2 approached the Complainant’s bedroom window SO 2 asked the Complainant to put the knives away and explained they were there to speak with him As the bucket became level with the Complainant’s window the TRU officers inside the apartment broke through the bedroom door with a battering ram Once inside the bedroom a stun grenade was deployed following which WO 4 discharged his ARWEN five times and WO 2 his CEW once for a cycle of 15 seconds At around the same time SO 2 aimed and fired his ARWEN five times in the Complainant’s direction though the bedroom window The CEW and ARWEN discharges failed to immobilize the Complainant perhaps in some measure because he was holding a mattress in front of him The Complainant jumped through the screen of his open bedroom window and with a knife in hand leapt toward the aerial bucket The Complainant never managed to make it inside the bucket He struck the front wall of the bucket and was grabbed by both SO 1 and SO 2 who attempted to hold him to prevent him from falling Neither officer was able to get a firm hold of the Complainant who slipped further down the bucket momentarily grabbing hold of the bucket’s lower ledge before losing his grip and falling to the ground Once on the ground the Complainant was approached by another TRU officer WO 3 The officer said he observed the Complainant with a knife in his hand and attempting to get up He shot the Complainant once with his ARWEN following which the Complainant was arrested and transported to hospital by paramedics.\n,"SO#2, had attempted to prevent him from falling.  For the reasons that follow, there are no reasonable grounds in my view to believe that either officer committed a criminal offence in connection with the Complainant’s injuries.There are two issues that require examination with respect to the officers’ potential criminal liability, namely, was the force used against the Complainant legally justified, and, did the officers cause or contribute to the Complainant’s injuries by way of criminal negligence.  Turning first to the issue of the officers’ use of force, section 25(1) of theCriminal Codeprovides that police officers are exempt from liability for force used in the course of their duties provided such force was reasonably necessary in the execution of an act that they were required or authorized to do by law.  The officers, including theTRUofficers, were lawfully in the area to take the Complainant into custody.  Whether pursuant to theMental Health Actor theCriminal Code, the Complainant was quite clearly suffering from a mental disorder at the time and in possession of knives with which he threatened to harm himself and others, and was clearly subject to legal apprehension.  The situation was fraught with danger, and the officers were entitled to proceed on the basis that the Complainant was ready and able to inflict grievous bodily harm or death given the opportunity.When a period of time had passed with the officers unable to convince the Complainant to exit his bedroom, they opted for a more aggressive posture.  I am unable to find fault with their decision to do so given the exigencies of the situation.  WhileSO#1 andSO#2 made their way up to the Complainant’s bedroom window from the outside, otherTRUofficers entered and immediately deployed force in an effort to disarm the Complainant.  Regrettably, despite the significant force that was expended, tenARWENrounds and aCEWdischarge, the Complainant retained possession of a knife and was able to jump through the window in an ill-fated attempt to land on the aerial bucket.  On this record, I am satisfied on reasonable grounds that the force used by the officers was measured, proportional to the threat at hand, and reasonably necessary in the circumstances.Once on the ground, the Complainant was struck with one furtherARWENdischarge.  This final shot is disconcerting.  ThoughWO#3 claims he saw a knife in the Complainant’s possession at the time, there is other evidence to suggest he had a single knife in his hands when he jumped, which fell ahead of him to the ground.  Be that as it may, the knife would at the very least have been close to the Complainant on the ground and reasonably accessible, and I am therefore prepared to giveWO#3 the benefit of the doubt on this issue given the volatility of the events around him.  In arriving at this conclusion, I have in mind the common law principle that affords police officers some latitude with respect to the force they adopt in dynamic circumstances; what is required is a reasonable response, not an exacting one.This leaves for consideration the issue ofcriminal negligence causing bodily harmcontrary to section 221 of theCriminal Code, which may be dealt with in short order.  The offence is predicated, in part, on conduct that amounts to a marked and substantial deviation from the level of care that a reasonable person would have exercised.  Without dealing again with the force that was used, which I believe is best resolved under section 25(1) of theCriminal Code, I have no hesitation in finding that theTRUofficers, includingSO#1 andSO#2, conducted themselves throughout the standoff with the Complainant in a professional manner.  They attempted to negotiate with the Complainant, to no avail.  It was apparent that the Complainant was not in a sound state of mind, and a more proactive approach was in order.  They considered their options and decided to forcibly enter the bedroom whileSO#1 andSO#2 approached the room from its only other access point.  While that tactic may have prompted the Complainant to jump through the bedroom window, I am satisfied it was one reasonably open to the officers.  Finally, when the Complainant leapt in the direction of the aerial bucket,SO#1 andSO#2, at risk to their own safety, did what they could to grab hold of the Complainant and prevent his fall.  In the final analysis, the officers’ conduct in my view leaves no room to reasonably conclude that they transgressed the limits of care prescribed by the criminal law.In the result, there being no reasonable grounds to believe the officers used excessive force or were otherwise criminally negligent, there is no basis to proceed with charges in this case and the file is closed.Date:	September 13, 2019Joseph MartinoInterim DirectorSpecial Investigations Unit",https://www.siu.on.ca/en/directors_report_details.php?drid=465
,Niagara Regional Police Service,Niagara,Ontario,The preliminary cause of death was determined to be “multiple blunt force injuries” due to “descent from height,,https://www.siu.on.ca/en/directors_report_details.php?drid=435
,York Regional Police,York,Ontario,Surgery was required to repair the fractured patella but the Complainant refused to sign the necessary consent form resulting in her only being treated with pain medications following which she was discharged from hospital,"At 11:25:17 a.m., the police were dispatched to attempt to locate the Complainant.  Initially, seven police officers were dispatched and the Complainant’s cell phone was “pinged” usingGPStechnology, in order to attempt to locate the Complainant. 34 units in total, were eventually dispatched prior to this matter being resolved.At 11:32:25 a.m., theYRPcall taker placed a call to the Complainant’s cellular phone and spoke to the Complainant; the Complainant, during the course of the call, told the call taker, “I’m going to do an armed robbery and I’m going to force the police to … I’m going to come at you with a machete and I want you to shoot me.  I want to die and I can’t do it myself and I’m going to give you no choice.  Don’t call me again, you will hear from me soon.”Following this call, unfortunately, the Complainant disposed of her cell phone in the parking lot, following which she made her way through a forested area at the rear of the Canadian Tire store on Woodbine Avenue.Two additional 911 calls were received by theYRPCC almost simultaneously, shortly after 1:22 p.m., with the first call reporting that a suspicious person had been seen walking past the public school on Carrick Avenue with something in her hands, while a second 911 caller reported that a female had jogged north on Carrick Avenue and was now lying down on the front lawn of a residence at the corner of Carrick Avenue and Tuch Drive, in the Community of Keswick.  The 911 caller further reported that the woman was holding a knife.At 1:24:26 p.m., a radio transmission was sent out to all units repeating the information received in the various 911 calls and, at 1:28:30 p.m., Witness Officer (WO) #1 responded that he was en route with a tactical paramedic.At 1:30:05 p.m., a radio transmission was received fromWO#1 stating that the Complainant was in custody and that an ambulance was required.  The Complainant was then transported to the hospital, by ambulance, where she was assessed, and it was discovered that she had sustained transverse fractures to the right patella (kneecap).During the course of this investigation, in addition to the Complainant, six civilian and six police witnesses were interviewed; while Subject Officer (SO) #1, one of two designatedSOs in this matter, declined to be interviewed, the second subject officer,SO#2, consented to an interview.  In addition to the eyewitness evidence,SIUinvestigators had access to, and reviewed, the memorandum book notes of all the witness police officers, as well as the communications recordings, the 911 calls, and the Complainant’s medical records.  There is no dispute as to the facts.Following the making of the above-noted call to the Crisis Counsellor at the YRVS, and being informed by the counsellor that the counsellor would have to notify the police because of what the Complainant had disclosed to the counsellor about her intentions, the Complainant disposed of her cell phone in the bushes in order to thwart the efforts of the police to locate her.  She then returned to the motor vehicle that she had been using and took a machete, which the Complainant described as being 18 inches to 2 feet in length, and a bottle of whisky, which she then consumed until she became intoxicated.  The Complainant then entered a forested area, while still carrying both the machete and the bottle of whisky.Between the time of the first 911 call, and the Complainant’s subsequent arrest,YRPofficers set up a perimeter around the forested area where the Complainant had concealed herself, while making numerous effort to communicate with the Complainant, without any response from her.Eventually the Complainant left the forested area in the opposite direction, and began to walk on Carrick Avenue.  Upon arriving in the area of Carrick Avenue and Tuch Drive, the Complainant was observed by an independent civilian witness,CW#3, staggering on the sidewalk and speaking with herself, while carrying the sheathed machete in one hand and the bottle of whisky in the other.CW#3, who began following the Complainant in his motor vehicle, observed the Complainant then ‘hide’ under a tree on the southwest corner of Carrick Avenue and Tuch Drive, and he contacted theYRPCC and notified them of the Complainant’s location and kept them updated as to what she was doing.CW#3 observed a markedYRPMarine Unit vehicle, driven byWO#6, arrive andCW#3 pointed out to the officer where the Complainant was hiding.WO#6 was observed to approach the Complainant, to within ten to 15 feet of her location, and direct her to get down onto the ground;CW#3 indicated thatWO#6 had not drawn any use of force options.  When the Complainant yelled atWO#6 to, “Back away, I’ll kill you, I don’t want to kill you but I will kill you, just leave me alone, back away!”,WO#6 began to back up to his vehicle, while the Complainant aggressively came out from under the tree and walked towardsWO#6, while swinging the sheathed machete inWO#6’s direction.A markedYRPvehicle with a team from the Emergency Response Unit (ERU), which consisted ofSO#2,SO#1 andWO#4, then arrived at the Complainant’s location and all three officers exited the vehicle dressed in their tactical uniforms.CW#3 heard one of the officers address the Complainant by her first name and tell her, “We do not want to hurt you,” at which point the Complainant turned to face the officers and raised the machete in her right hand.  At that same moment,CW#3 heard a shot ring out and saw thatSO#1 was holding a long gun, which had smoke coming from the end of the barrel.  The Complainant then said, “Ow”, following which she fell to the ground and the three officers moved in to gain control over her.CW#5, the Advanced Care tactical paramedic who was called in to assist the Complainant, observed that there was a machete and an empty bottle of whisky lying on the grass about two metres east of the Complainant, after theARWEN(Anti-Riot Weapon Enfield)had been deployed, and that the Complainant was hysterical and was shouting and crying.  WhenCW#5 moved in to assess the Complainant, he saw that she was extremely intoxicated, was slurring her words, and had the odour of alcohol on her breath.  WhenCW#5 examined the Complainant’s knee, he found a minor abrasion on the right knee and a bit of a divot or imprint on her kneecap.The evidence ofSO#2, and the police witnesses interviewed, is consistent with that of these twoCWs.SO#2 stated that on October 3, 2018, at approximately 12:36 p.m., he andWO#4 andSO#1, of the Emergency Response Unit (ERU), responded to a call for service regarding a suicidal female who was armed with a machete and had threatened to harm herself by committing an armed robbery and who would then advance on police with the machete in order to force a confrontation with the police, who she hoped would then shoot her.Following receipt of information that the Complainant had been seen in the area of Carrick Avenue and Tuck Drive, theERUteam drove directly to that location. While en route,SO#2 instructedSO#1 to arm himself with the long range, less lethal,ARWENandWO#4 was to arm himself as back up with his less lethal Conducted Energy Weapon (CEW), whileSO#2 would provide lethal coverage, with his AR 15 rifle.As they approached the intersection of Carrick Avenue and Tuch Drive,SO#2 saw the Complainant at the bottom of a large tree on a side lawn of a residence on Carrick Avenue, just south of Tuch Drive;SO#2 saw that the Complainant had a machete in her right hand and a bottle in her left.All threeERUofficers then exited their vehicle andSO#2 described himself as going north on Carrick Avenue, toward Tuch Drive, whileSO#1 andWO#4 went around the south side of the tree.SO#2 then saw the Complainant, who was shouting obscenities, break into a slight jog heading away from the officers, withSO#1 andWO#4 repeatedly directing the Complainant to drop the knife.SO#2 then described the Complainant as turning to faceWO#4 andSO#1, while continuing to jog backwards, andSO#2 shouted out, “Legs, legs, legs!” in order to alertSO#1, who was some ten to 15 yards east of the Complainant, to target the Complainant’s leg area with hisARWEN.SO#2 explained that his thinking was that they could not allow the Complainant, while still armed with the machete, to get away from them and possibly confront another police officer, a citizen, or children from the nearby school.Within two seconds of his shout,SO#2 then heard one discharge of theARWEN, and the Complainant crumpled to the ground, dropping the machete as she did so, followed by the officers moving in and containing the Complainant.SO#2 further explained that, ultimately, it was the decision ofSO#1 whether or not he felt it was safe to fire theARWENat the Complainant, despite his direction toSO#1 to do so.  He further explained that when using anARWEN, areas to be avoided included the genitalia, spine, head, stomach and chest, while it was preferable, ideally, to target areas with heavy musculature.  Unfortunately, while the Complainant was still moving at the time that she was struck by theARWENprojectile, the accuracy of theARWENcould not be guaranteed, although it is generally effective from a range of up to 30 yards.SO#2 further opined that it would have been unsafe for any police officer to approach the Complainant, while she was armed with the machete, and to attempt to utilize either a baton or oleoresin capsicum (OC) spray.WO#6 observed the Complainant run away from theERUofficers, after they initially arrived and were directing her to get down and to drop the knife.  She then stopped and turned to face the officers, while still armed with the machete and shouting obscenities, at which pointWO#6 sawSO#1 discharge hisARWEN, which appeared to strike the Complainant in the right knee, and she fell, dropping the machete.WO#4, who had been directed to arm himself with hisCEW, stated that when the Complainant stood up and began shouting obscenities at him, while swinging the machete wildly back and forth, he felt that resort to hisCEWwould not be successful, as the maximum range for a successful deployment was approximately 25 feet, and the Complainant was already some 20 feet away and was increasing that distance when she began to jog off.  When the Complainant then turned around to again face the officers, with the machete in her right hand across her chest area and the bottle of whisky in her left hand, while continuing to shout obscenities,WO#4 heardSO#2 shout to target the Complainant’s legs, following which, within one to two seconds,SO#1 discharged hisARWEN, and a projectile struck the Complainant in the right thigh or knee area, following which she cried out in pain and fell to the ground, with the machete still clutched in her right hand.WO#4 andSO#1 then moved closer, while ordering the Complainant to drop the knife, which she then did by throwing it behind her;WO#4 then moved in and kicked the machete further away, following which the Complainant was handcuffed.The Complainant’s medical records appear to confirm the above, in that they read, “Patient says she came at police with a machete hoping they would shoot her as she could not kill herself and wanted police to do it for her.”On these facts, then, which are not disputed, I find that the Complainant, for the purpose of forcing a confrontation between herself and the police, armed herself with a machete in the hopes that she would be shot and killed by police, thereby allowing her to attain her goal of committing suicide.  It is also clear that the the response of theERUteam was that two out or three of the responding officers were equipped with less lethal use of force options, withSO#1 arming himself with anARWEN, whileWO#4 was armed with aCEW, and that onlySO#2 armed himself with a lethal use of force option, his AR 15 rifle, should all else fail.On all of the evidence, it is further established that police officers repeatedly shouted at the Complainant to drop her weapon, and thatSO#1 only discharged hisARWENwhen the Complainant turned to face them, while still armed with the machete, which she was swinging about and at the officers.  Only then, and only on one single occasion, didSO#1 discharge hisARWEN, which was successful in bringing the Complainant to the ground, where she voluntarily then disposed of the machete.  Once the Complainant was on the ground, no further use of force was resorted to by any police officer.Because it is clear, on this record, that the Complainant sustained a serious injury during her interaction with police, an assessment is required to determine whether or not the actions ofSO#1 andSO#2, in apprehending, disarming, and arresting the Complainant, amounted to an excessive use of force in the circumstances thereby vitiating their protection from prosecution pursuant to s. 25 (1) of theCriminal Code.Pursuant to s. 25(1), a police officer, if he or she acts on reasonable grounds, is justified in using as much force as is necessary in the execution of a lawful duty.  As such, in order for the two subject officers to qualify for protection from prosecution pursuant to s. 25, it must be established that they were in the execution of a lawful duty, that they were acting on reasonable grounds, and that they used no more force than was necessary.Turning first to the lawfulness of the Complainant’s apprehension, it is evident from the information provided by the various 911 callers, that theERUteam, as well as all of the responding police officers, had reasonable grounds to believe that the Complainant was in possession of a weapon dangerous to the public peace (s. 88 of theCriminal Code) and that her intent was to force a deadly confrontation with the police.  As such, the apprehension and subsequent arrest of the Complainant was legally justified in the circumstances.An assessment of the use of force resorted to by the two subject officers, then, requires an assessment of whetherSO#2’s direction toSO#1 that he ought to target the Complainant’s “Legs, legs, legs!”, andSO#1’s response in discharging hisARWENon one occasion, striking the Complainant in the knee cap, amounted to an excessive use of force.   On these facts, which are undisputed, I cannot find that these actions, despite the injury to the Complainant, amounted to an excessive use of force.  In fact, I find that the actions of these three officers, and all of the officers who interacted with the Complainant, exhibited calm, patience, and professionalism, and that no more than the minimal force required was used to contain and disarm the Complainant, before anyone came to harm.While we are without the benefit ofSO#1’s thinking with respect to why he opted to discharge hisARWEN, I find thatSO#2’s reasoning in this regard, based on the same information thatSO#1 had in his possession at the time, was prudent, and resulted in a safe outcome to the situation with resort to only the minimum force required to end the risk that the Complainant continued to pose while she was armed with the weapon.  In this regard, I accept thatSO#2’s concern that the police could not allow the Complainant, while still armed with the machete, to get away from them and possibly confront another police officer, a citizen, or children from the nearby school, was valid.  I accept as well his conclusion, which was both well thought out and appropriate to the circumstances, that it would have been unsafe for any police officer to approach the Complainant, while she was armed with an edged weapon, in an attempt to use either a baton orOCspray to disarm her.   I have no reason to believe thatSO#1’s thinking, which would have been based on the same information, would have been any different.In coming to this conclusion, I have considered the direction from the Supreme Court of Canada as set out inR. v. Nasogaluak[2010] 1 S.C.R. 206, as follows:Police actions should not be judged against a standard of perfection. It must be remembered that the police engage in dangerous and demanding work and often have to react quickly to emergencies. Their actions should be judged in light of these exigent circumstances. As Anderson J.A. explained inR. v. Bottrell(1981), 60 C.C.C. (2d) 211 (B.C.C.A.):In determining whether the amount of force used by the officer was necessary the jury must have regard to the circumstances as they existed at the time the force was used. They should have been directed that the appellant could not be expected to measure the force used with exactitude. [p. 218]Additionally, I have considered the decision of the Ontario Court of Appeal inR. v. Baxter(1975) 27 C.C.C. (2d) 96 (Ont. C.A.), that officers are not expected to measure the degree of their responsive force to a nicety.In conclusion, while the Complainant sustained her serious injury when she was struck by anARWENprojectile, the evidence does not satisfy me that there are reasonable grounds to believe the discharging of theARWENamounted to an excessive use of force in these circumstances, or that any of the involved officers acted outside of the limits of the criminal law when they disarmed and apprehended an unstable, potentially violent woman, who was armed with a dangerous weapon, and who had made clear her intentions to force a violent confrontation with police in order to end her own life.  On the evidence of all of the witnesses, and the Complainant herself, I have no hesitation in finding that all of the responding police officers acted with patience in their dealings with the Complainant, in efforts to bring a potentially lethal situation to a safe and satisfactory ending, without the loss of life.  As such, as I lack the bases for the laying of criminal charges, none shall issue.Date:	February 5, 2019Original signed byTony LoparcoDirectorSpecial Investigations Unit",https://www.siu.on.ca/en/directors_report_details.php?drid=220
,Greater Sudbury Police Service,Elliot Lake,Ontario,The Complainant was located inside the rear patio door on the floor of the kitchen in pain his leg injury was apparent,,https://www.siu.on.ca/en/directors_report_details.php?drid=463
,Toronto Police Service,Toronto,Ontario,u2003\nCause of Death The pathologist at post-mortem attributed the Complainant’s death to “multiple blunt impact trauma”,"Once notified of the incident, the police responded promptly to the scene.  The situation was an emergency and the officers did what they could to abort what clearly was an intention on the part of the Complainant to end her life.  Based on their observations of the Complainant from ground level, the officers correctly deduced the location of the Complainant’s unit and wasted no time in making their way there.  Once on the balcony and sensing an opportunity to safely take hold of the Complainant,SO#1 grabbed her collar and attempted to rein her in.  I am satisfied that action, while precipitating the chain of events culminating in the Complainant’s jump, was a reasonable tactic in the circumstances.  The Complainant reacted by pulling him toward her and then pushing off against the officer.  That sequence placedSO#1’s life in danger as he struggled to maintain his grip on the Complainant and was dragged toward the railing, his balance secured bySO#2 from behind.  All told,SO#1 was on the balcony with the Complainant for a matter of seconds before she jumped.  On this record, I am satisfied the subject officers acted at all times with due care and regard for the Complainant, and in pursuit of their foremost duty – the protection and preservation of life.  Consequently, there are no grounds to believe that either officer is criminally implicated in the Complainant’s self-inflicted death, and the file is closed.Date:	September 6, 2019Original signed byJoseph MartinoInterim DirectorSpecial Investigations Unit",https://www.siu.on.ca/en/directors_report_details.php?drid=447
,Halton Regional Police Service,Burlington,Ontario,A post-mortem examination of the Complainant’s body revealed that he had six gunshot wounds five to his left side left upper arm forearm chest torso and buttock and one to his right side right buttock,,https://www.siu.on.ca/en/directors_report_details.php?drid=328
,York Regional Police,Harley,Ontario,Paramedics and firefighters attended the scene and the Complainant was taken to hospital where she was diagnosed with a fractured shoulder and a finger injury,,https://www.siu.on.ca/en/directors_report_details.php?drid=437
,Ottawa Police Service,Ottawa,Ontario,An ambulance arrived and transported the Complainant to hospital where he was treated for his injuries,,https://www.siu.on.ca/en/directors_report_details.php?drid=445
,Toronto Police Service,Dufferin,Ontario,n r\n The events in question are evident on the information collected by the SIU which included statements from each of the Avenger’s occupants and witness officers including WO 1 who was a passenger in the SO’s cruiser as well as data relating to speed and an in-cruiser video recording downloaded from the subject officer’s cruiser WO 2 on patrol in his cruiser with stealth markings observed the Avenger at about 2:40 a.m on September 19 2018 traveling south on Spadina Avenue He suspected it was the same vehicle that had earlier been reported stolen In fact it was The officer began to follow the Avenger at a distance as it made its way westbound onto the Gardiner Expressway before exiting to travel north on Dunn Avenue WO 2 observed the Avenger turn left through a red light at Queen Street at which point he believed the driver of the Avenger was aware of his presence The Avenger picked up its speed and proceeded to turn right to travel north on Lansdowne Avenue then left into a laneway and right again onto northbound Macdonell Avenue WO 2 continued to keep pace behind the Avenger At no point did he activate his emergency lights or siren The SO in his fully marked police SUV and with WO 1 as his partner had heard over the radio that WO 2 was engaged with a suspected stolen vehicle The officers fell in behind WO 2 on Macdonell Avenue and joined in the pursuit As the convoy of vehicles approached Seaforth Avenue the SO drove past WO 2’s vehicle and came up alongside the driver’s side of the Avenger A police SUV being operated by WO 3 who approached from the east on Seaforth Avenue blocked the Avenger’s right side An effort was made to block the Avenger at this time but it managed to maneuver around the police vehicles and continue north on Macdonell Avenue The Avenger travelled north on Macdonell Avenue and then east on Rideau Avenue now with the SO’s cruiser as the lead police vehicle behind it Ignoring a stop sign at the intersection the Avenger turned left onto Lansdowne Avenue and accelerated northward toward Dundas Street West The SO with his cruiser’s lights activated pursued the Avenger from a distance and watched as it struck a fence barring entry into a construction zone at the Dundas Street West intersection Work to replace the streetcar tracks was ongoing at the time The Avenger continued into the intersection drove over the exposed streetcar tracks and became airborne coming to rest on its passenger side alongside a piece of heavy machinery The SO and WO 1 were the first at the scene Together with other arriving officers they removed the three occupants from the Avenger as it burst into flame The fire was put out by a TTC construction worker with a fire extinguisher CW 1 Complainant 2 and Complainant 1 were arrested and arrangements made to have them taken directly to hospital from the scene.\n,"The offence that arises for consideration isdangerous driving causing bodily harmcontrary to section 249(3)[1]of theCriminal Code.  The offence is predicated, in part, on conduct that deviates markedly from a reasonable level of care in the circumstances.  The officers involved in the pursuit of the Avenger, including theSO, were acting in the lawful discharge of their duties.  They had information that the vehicle had been reported stolen and were within their rights in attempting to stop it for investigation of its occupants.From the moment it appears the driver of the Avenger became aware he was being followed, on Dunn Avenue, until the collision, the Avenger had travelled a distance of approximately 1.5 kilometres.  During that time, the roads were dry, the weather was clear and there was little if any vehicular or pedestrian traffic along the pursuit route.  TheSO, with his cruiser’s emergency lights on for most of his engagement with the Avenger, travelled at moderate speeds and kept a fair distance back of the Avenger; a construction worker at the site of the collision estimated the first cruiser arrived on scene within ten to 20 seconds of the Avenger.  In the circumstances, it is clear the driver of the Avenger had every opportunity to bring his vehicle to a safe stop had he been so inclined.With respect to the attempted block of the Avenger, and theSO’s participation in the maneuver, it was in my view a reasonable tactic.  The Avenger, while refusing to stop for the police, had to that point been traveling at moderate speeds without endangering traffic around it, leaving the officers to reasonably conclude its driver might surrender without incident once surrounded.  The tactic was also performed while the Avenger had slowed to make a turn and without any contact being made between the police vehicles and the AvengerWhile theSOought to have brought his cruiser to a complete stop before traveling through the stop sign as he turned left from Rideau Street to proceed north on Lansdowne Avenue, the officer did slow his vehicle appreciably before completing the turn and did so safely without endangering anyone’s safety.  Similarly, though the officer drove the wrong way north on Macdonell Avenue in pursuit of the Avenger, he did so for a short distance (about 360 metres), at low speed and in safety.On the aforementioned record, in the context of a brief engagement during which theSOwas the lead vehicle in a low speed pursuit of the Avenger over a distance of about one kilometre, there are no reasonable grounds to believe the subject officer transgressed the limits of care prescribed by the criminal law.  Accordingly, there are no grounds for proceeding with charges in this case.Date:	September 13, 2019Original signed byJoseph MartinoInterim DirectorSpecial Investigations Unit",https://www.siu.on.ca/en/directors_report_details.php?drid=487
,Ontario Provincial Police,Grey,Ontario,r\n\nCause of Death nThe pathologist at the Complainant’s post-mortem examination concluded that his death was attributable to “multiple blunt impact trauma”,,https://www.siu.on.ca/en/directors_report_details.php?drid=451
,Ontario Provincial Police,Kawartha Lakes,Ontario,n Cause of DeathThe pathologist at the Complainant’s post-mortem examination attributed his death to “drowning in a man with mixed drug intoxication”,,https://www.siu.on.ca/en/directors_report_details.php?drid=479
,Belleville Police Service,Belleville,Ontario,The following morning having been released from custody the Complainant attended the BGH having broken a tooth and was diagnosed with a concussion,,https://www.siu.on.ca/en/directors_report_details.php?drid=381
,Windsor Police Service,Windsor,Ontario,While the possibility that one of WO 1’s bullets was responsible for one of the Complainant’s wounds cannot be excluded forensic examination of a projectile later recovered from the Complainant and the relative positions of the officers at the time of the shooting suggest that the SO’s bullets were more likely the cause of the Complainant’s injuries,,https://www.siu.on.ca/en/directors_report_details.php?drid=517
